Tanggal,Provinsi,Komoditas,Nilai,NilaiDiff,lag_1,lag_7,rolling_mean_7,rolling_std_7
2024-03-01,Sulawesi Tengah,Beras,15650.0,Rp0,14800.0,13800.0,14778.57142857143,748.2519310906943
2024-03-01,Jambi,Beras,14800.0,Rp0,15650.0,15850.0,14628.57142857143,585.1332774513448
2024-03-01,DI Yogyakarta,Beras,15400.0,Rp0,14800.0,13850.0,14850.0,532.2906474223777
2024-03-01,Jawa Timur,Beras,15400.0,Rp0,15400.0,14050.0,15042.857142857143,428.591269382004
2024-03-01,Riau,Beras,15450.0,Rp100,15400.0,14550.0,15171.42857142857,389.2911751473706
2024-03-01,Jawa Tengah,Beras,15600.0,Rp0,15450.0,14700.0,15300.0,354.72994422988194
2024-03-01,Maluku,Beras,15600.0,Rp0,15600.0,14800.0,15414.285714285714,289.7042827239065
2024-03-01,Sulawesi Utara,Beras,15350.0,Rp0,15600.0,15650.0,15371.42857142857,270.58138464108646
2024-03-01,Sumatera Selatan,Beras,15400.0,Rp0,15350.0,14800.0,15457.142857142857,101.7700489198296
2024-03-01,Bali,Beras,16700.0,Rp0,15400.0,15400.0,15642.857142857143,476.4701559634253
2024-03-01,Sulawesi Barat,Beras,15150.0,Rp0,16700.0,15400.0,15607.142857142857,506.15262143989486
2024-03-01,Banten,Beras,16750.0,Rp0,15150.0,15450.0,15792.857142857143,655.3806600166131
2024-03-01,Bengkulu,Beras,15900.0,Rp0,16750.0,15600.0,15835.714285714286,650.4577143021983
2024-03-01,Papua Barat,Beras,15900.0,Rp0,15900.0,15600.0,15878.57142857143,642.1689437998031
2024-03-01,Kalimantan Timur,Beras,15950.0,Rp550,15900.0,15350.0,15964.285714285714,598.4105932344785
2024-03-01,Sulawesi Tenggara,Beras,16100.0,Rp0,15950.0,15400.0,16064.285714285714,544.4525428617025
2024-03-01,DKI Jakarta,Beras,16150.0,Rp0,16100.0,16700.0,15985.714285714286,472.32958630096476
2024-03-01,Kepulauan Bangka Belitung,Beras,16450.0,Rp0,16150.0,15150.0,16171.42857142857,319.9702367110969
