ProvID,Provinsi,Tanggal,Komoditas,Nilai,NilaiDiff,SemuaProvinsi,Kelompok,stdDev,Percentage,SemuaPercentage,stdDevPercentage,TanggalLast,TanggalInflasi,show,tanggal
2,Sumatera Utara,01 Mar 24,Beras,13800.0,Rp0,15900.0,5,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
1,Aceh,01 Mar 24,Beras,13850.0,Rp0,15900.0,5,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
26,Sulawesi Selatan,01 Mar 24,Beras,14050.0,Rp50,15900.0,5,1200.0,0.36,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
5,Kepulauan Riau,01 Mar 24,Beras,14550.0,Rp0,15900.0,5,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
18,Nusa Tenggara Barat,01 Mar 24,Beras,14700.0,Rp0,15900.0,5,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
6,Jambi,01 Mar 24,Beras,14800.0,Rp0,15900.0,5,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
10,Lampung,01 Mar 24,Beras,14800.0,Rp0,15900.0,5,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
30,Sulawesi Barat,01 Mar 24,Beras,15150.0,Rp0,15900.0,4,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
29,Sulawesi Utara,01 Mar 24,Beras,15350.0,Rp0,15900.0,4,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
8,Sumatera Selatan,01 Mar 24,Beras,15400.0,Rp0,15900.0,4,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
15,DI Yogyakarta,01 Mar 24,Beras,15400.0,Rp0,15900.0,4,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
16,Jawa Timur,01 Mar 24,Beras,15400.0,Rp0,15900.0,4,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
4,Riau,01 Mar 24,Beras,15450.0,Rp100,15900.0,4,1200.0,0.65,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
14,Jawa Tengah,01 Mar 24,Beras,15600.0,Rp0,15900.0,4,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
31,Maluku,01 Mar 24,Beras,15600.0,Rp0,15900.0,4,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
28,Sulawesi Tengah,01 Mar 24,Beras,15650.0,Rp0,15900.0,4,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
12,Jawa Barat,01 Mar 24,Beras,15850.0,Rp0,15900.0,4,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
7,Bengkulu,01 Mar 24,Beras,15900.0,Rp0,15900.0,4,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
19,Nusa Tenggara Timur,01 Mar 24,Beras,15900.0,Rp0,15900.0,4,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
34,Papua Barat,01 Mar 24,Beras,15900.0,Rp0,15900.0,4,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
23,Kalimantan Timur,01 Mar 24,Beras,15950.0,Rp550,15900.0,4,1200.0,3.57,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
27,Sulawesi Tenggara,01 Mar 24,Beras,16100.0,Rp0,15900.0,3,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
13,DKI Jakarta,01 Mar 24,Beras,16150.0,Rp0,15900.0,3,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
20,Kalimantan Barat,01 Mar 24,Beras,16350.0,Rp0,15900.0,3,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
9,Kepulauan Bangka Belitung,01 Mar 24,Beras,16450.0,Rp0,15900.0,3,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
17,Bali,01 Mar 24,Beras,16700.0,Rp0,15900.0,3,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
32,Maluku Utara,01 Mar 24,Beras,16700.0,Rp0,15900.0,3,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
11,Banten,01 Mar 24,Beras,16750.0,Rp0,15900.0,3,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
24,Kalimantan Utara,01 Mar 24,Beras,16750.0,Rp0,15900.0,3,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
33,Papua,01 Mar 24,Beras,16900.0,Rp0,15900.0,3,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
3,Sumatera Barat,01 Mar 24,Beras,17050.0,Rp0,15900.0,3,1200.0,0.0,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
25,Gorontalo,01 Mar 24,Beras,17350.0,Rp50,15900.0,2,1200.0,0.29,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
21,Kalimantan Selatan,01 Mar 24,Beras,18650.0,Rp150,15900.0,1,1200.0,0.81,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
22,Kalimantan Tengah,01 Mar 24,Beras,19500.0,Rp50,15900.0,1,1200.0,0.26,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
1,Aceh,04 Mar 24,Beras,13800.0,-Rp50,15950.0,5,1200.0,-0.36,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
2,Sumatera Utara,04 Mar 24,Beras,13800.0,Rp0,15950.0,5,1200.0,0.0,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
26,Sulawesi Selatan,04 Mar 24,Beras,14100.0,Rp50,15950.0,5,1200.0,0.36,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
5,Kepulauan Riau,04 Mar 24,Beras,14550.0,Rp0,15950.0,5,1200.0,0.0,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
